Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Train_Time_s,Test_Time_s,n_features,pos_rate,Seed,split_id
GB,SW,No Process,0.7831,0.7705,0.3077,0.2486,0.6443,0.3587,9.237,0.018,59,0.0953,3,0f50fb19f263c430
KNN,SW,No Process,0.8993,0.6408,0.1687,0.365,0.0941,0.1496,0.008,1.324,59,0.0953,3,0f50fb19f263c430
LR,SW,No Process,0.7783,0.7634,0.2705,0.24,0.6253,0.3469,0.124,0.004,59,0.0953,4,0f50fb19f263c430
RF,SW,No Process,0.9077,0.7583,0.3252,0.5676,0.083,0.1448,1.864,0.069,59,0.0953,4,0f50fb19f263c430
GB,SW,No Process,0.7831,0.7705,0.3077,0.2484,0.6435,0.3584,9.437,0.019,59,0.0953,4,0f50fb19f263c430
KNN,SW,No Process,0.8993,0.6408,0.1687,0.365,0.0941,0.1496,0.009,1.257,59,0.0953,4,0f50fb19f263c430
LR,SW,With Process,0.8392,0.8781,0.4793,0.3398,0.751,0.4679,0.2,0.005,76,0.0953,42,0f50fb19f263c430
RF,SW,With Process,0.9318,0.9143,0.6338,0.8753,0.3217,0.4705,2.0,0.058,76,0.0953,42,0f50fb19f263c430
GB,SW,With Process,0.8082,0.9167,0.6333,0.3163,0.8933,0.4672,14.277,0.021,76,0.0953,42,0f50fb19f263c430
KNN,SW,With Process,0.9176,0.6967,0.3207,0.6771,0.2387,0.353,0.01,1.346,76,0.0953,42,0f50fb19f263c430
LR,SW,With Process,0.8392,0.8781,0.4793,0.3398,0.751,0.4679,0.196,0.005,76,0.0953,1,0f50fb19f263c430
RF,SW,With Process,0.9318,0.9117,0.6357,0.8734,0.3217,0.4702,1.818,0.057,76,0.0953,1,0f50fb19f263c430
GB,SW,With Process,0.8082,0.9167,0.6334,0.3163,0.8933,0.4672,15.029,0.021,76,0.0953,1,0f50fb19f263c430
KNN,SW,With Process,0.9176,0.6967,0.3207,0.6771,0.2387,0.353,0.012,1.483,76,0.0953,1,0f50fb19f263c430
LR,SW,With Process,0.8392,0.8781,0.4793,0.3398,0.751,0.4679,0.206,0.005,76,0.0953,2,0f50fb19f263c430
RF,SW,With Process,0.9322,0.9121,0.6318,0.8848,0.3217,0.4719,1.915,0.058,76,0.0953,2,0f50fb19f263c430
GB,SW,With Process,0.8082,0.9167,0.6332,0.3163,0.8933,0.4672,13.887,0.02,76,0.0953,2,0f50fb19f263c430
KNN,SW,With Process,0.9176,0.6967,0.3207,0.6771,0.2387,0.353,0.01,1.374,76,0.0953,2,0f50fb19f263c430
LR,SW,With Process,0.8392,0.8781,0.4793,0.3398,0.751,0.4679,0.198,0.005,76,0.0953,3,0f50fb19f263c430
RF,SW,With Process,0.9326,0.9095,0.6304,0.8811,0.3281,0.4781,1.812,0.059,76,0.0953,3,0f50fb19f263c430
GB,SW,With Process,0.8082,0.9167,0.6335,0.3163,0.8933,0.4672,14.143,0.021,76,0.0953,3,0f50fb19f263c430
KNN,SW,With Process,0.9176,0.6967,0.3207,0.6771,0.2387,0.353,0.01,1.398,76,0.0953,3,0f50fb19f263c430
LR,SW,With Process,0.8392,0.8781,0.4793,0.3398,0.751,0.4679,0.257,0.007,76,0.0953,4,0f50fb19f263c430
RF,SW,With Process,0.9319,0.9129,0.6343,0.8723,0.3241,0.4726,1.955,0.06,76,0.0953,4,0f50fb19f263c430
GB,SW,With Process,0.8082,0.9167,0.6335,0.3163,0.8933,0.4672,15.179,0.023,76,0.0953,4,0f50fb19f263c430
KNN,SW,With Process,0.9176,0.6967,0.3207,0.6771,0.2387,0.353,0.013,2.021,76,0.0953,4,0f50fb19f263c430
LR,SW,With BoW,0.8564,0.8839,0.5299,0.3688,0.7375,0.4917,1.538,0.022,344,0.0953,42,0f50fb19f263c430
RF,SW,With BoW,0.9307,0.9068,0.62,0.8436,0.3241,0.4683,3.325,0.102,344,0.0953,42,0f50fb19f263c430
GB,SW,With BoW,0.8107,0.9157,0.6303,0.3186,0.887,0.4688,30.932,0.053,344,0.0953,42,0f50fb19f263c430
KNN,SW,With BoW,0.9265,0.7077,0.3843,0.7532,0.3257,0.4547,0.036,5.023,344,0.0953,42,0f50fb19f263c430
LR,SW,With BoW,0.8564,0.8839,0.5299,0.3688,0.7375,0.4917,1.522,0.022,344,0.0953,1,0f50fb19f263c430
RF,SW,With BoW,0.9315,0.9073,0.6199,0.8525,0.3289,0.4746,3.757,0.093,344,0.0953,1,0f50fb19f263c430
GB,SW,With BoW,0.8107,0.9157,0.6301,0.3186,0.887,0.4688,31.413,0.057,344,0.0953,1,0f50fb19f263c430
KNN,SW,With BoW,0.9265,0.7077,0.3843,0.7532,0.3257,0.4547,0.035,5.862,344,0.0953,1,0f50fb19f263c430
LR,SW,With BoW,0.8564,0.8839,0.5299,0.3688,0.7375,0.4917,1.449,0.022,344,0.0953,2,0f50fb19f263c430
RF,SW,With BoW,0.9306,0.9076,0.622,0.8364,0.3273,0.4705,3.503,0.082,344,0.0953,2,0f50fb19f263c430
GB,SW,With BoW,0.8107,0.9156,0.6302,0.3186,0.887,0.4688,30.996,0.051,344,0.0953,2,0f50fb19f263c430
KNN,SW,With BoW,0.9265,0.7077,0.3843,0.7532,0.3257,0.4547,0.035,4.751,344,0.0953,2,0f50fb19f263c430
LR,SW,With BoW,0.8564,0.8839,0.5299,0.3688,0.7375,0.4917,1.834,0.023,344,0.0953,3,0f50fb19f263c430
RF,SW,With BoW,0.9308,0.9072,0.6198,0.8411,0.3265,0.4704,3.497,0.092,344,0.0953,3,0f50fb19f263c430
GB,SW,With BoW,0.8107,0.9157,0.6302,0.3186,0.887,0.4688,31.362,0.043,344,0.0953,3,0f50fb19f263c430
KNN,SW,With BoW,0.9265,0.7077,0.3843,0.7532,0.3257,0.4547,0.036,4.62,344,0.0953,3,0f50fb19f263c430
LR,SW,With BoW,0.8564,0.8839,0.5299,0.3688,0.7375,0.4917,1.511,0.024,344,0.0953,4,0f50fb19f263c430
RF,SW,With BoW,0.9309,0.9082,0.6236,0.85,0.3225,0.4676,3.601,0.093,344,0.0953,4,0f50fb19f263c430
GB,SW,With BoW,0.8107,0.9156,0.6301,0.3186,0.887,0.4688,31.097,0.05,344,0.0953,4,0f50fb19f263c430
KNN,SW,With BoW,0.9265,0.7077,0.3843,0.7532,0.3257,0.4547,0.034,4.866,344,0.0953,4,0f50fb19f263c430
