Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Train_Time_s,Test_Time_s,n_features,pos_rate,Seed,split_id
GB,SW,No Process,0.7364,0.8017,0.8044,0.7347,0.6698,0.7007,1.87,0.004,59,0.4548,1,476006eb47fe7cf9
KNN,SW,No Process,0.6618,0.7091,0.6594,0.6416,0.6023,0.6214,0.002,0.068,59,0.4548,1,476006eb47fe7cf9
LR,SW,No Process,0.7314,0.7947,0.7746,0.7159,0.6915,0.7035,0.026,0.001,59,0.4548,2,476006eb47fe7cf9
RF,SW,No Process,0.7404,0.802,0.8009,0.7725,0.6186,0.687,0.377,0.025,59,0.4548,2,476006eb47fe7cf9
GB,SW,No Process,0.7364,0.8019,0.8045,0.7347,0.6698,0.7007,1.842,0.004,59,0.4548,2,476006eb47fe7cf9
KNN,SW,No Process,0.6618,0.7091,0.6594,0.6416,0.6023,0.6214,0.002,0.056,59,0.4548,2,476006eb47fe7cf9
LR,SW,No Process,0.7314,0.7947,0.7746,0.7159,0.6915,0.7035,0.026,0.001,59,0.4548,3,476006eb47fe7cf9
RF,SW,No Process,0.7371,0.8011,0.8026,0.7705,0.6116,0.6819,0.399,0.025,59,0.4548,3,476006eb47fe7cf9
GB,SW,No Process,0.7364,0.8017,0.8044,0.7347,0.6698,0.7007,1.858,0.005,59,0.4548,3,476006eb47fe7cf9
KNN,SW,No Process,0.6618,0.7091,0.6594,0.6416,0.6023,0.6214,0.002,0.079,59,0.4548,3,476006eb47fe7cf9
LR,SW,No Process,0.7314,0.7947,0.7746,0.7159,0.6915,0.7035,0.032,0.001,59,0.4548,4,476006eb47fe7cf9
RF,SW,No Process,0.7436,0.8071,0.8058,0.7771,0.6217,0.6908,0.411,0.025,59,0.4548,4,476006eb47fe7cf9
GB,SW,No Process,0.7364,0.8019,0.8045,0.7347,0.6698,0.7007,1.857,0.004,59,0.4548,4,476006eb47fe7cf9
KNN,SW,No Process,0.6618,0.7091,0.6594,0.6416,0.6023,0.6214,0.002,0.05,59,0.4548,4,476006eb47fe7cf9
LR,SW,With Process,0.7332,0.799,0.7801,0.7195,0.6899,0.7044,0.029,0.001,76,0.4548,42,476006eb47fe7cf9
RF,SW,With Process,0.7386,0.8174,0.8152,0.7751,0.6093,0.6823,0.428,0.025,76,0.4548,42,476006eb47fe7cf9
GB,SW,With Process,0.7368,0.8193,0.8162,0.7287,0.6829,0.7051,2.848,0.005,76,0.4548,42,476006eb47fe7cf9
KNN,SW,With Process,0.6686,0.7169,0.6694,0.6474,0.6163,0.6315,0.003,0.093,76,0.4548,42,476006eb47fe7cf9
LR,SW,With Process,0.7332,0.799,0.7801,0.7195,0.6899,0.7044,0.039,0.001,76,0.4548,1,476006eb47fe7cf9
RF,SW,With Process,0.7439,0.821,0.8199,0.7768,0.6233,0.6916,0.438,0.026,76,0.4548,1,476006eb47fe7cf9
GB,SW,With Process,0.7364,0.8191,0.8161,0.7285,0.6822,0.7046,2.81,0.004,76,0.4548,1,476006eb47fe7cf9
KNN,SW,With Process,0.6686,0.7169,0.6694,0.6474,0.6163,0.6315,0.003,0.07,76,0.4548,1,476006eb47fe7cf9
LR,SW,With Process,0.7332,0.799,0.7801,0.7195,0.6899,0.7044,0.038,0.001,76,0.4548,2,476006eb47fe7cf9
RF,SW,With Process,0.7411,0.8182,0.8179,0.7668,0.6295,0.6914,0.432,0.025,76,0.4548,2,476006eb47fe7cf9
GB,SW,With Process,0.7364,0.819,0.816,0.7285,0.6822,0.7046,2.803,0.005,76,0.4548,2,476006eb47fe7cf9
KNN,SW,With Process,0.6686,0.7169,0.6694,0.6474,0.6163,0.6315,0.003,0.074,76,0.4548,2,476006eb47fe7cf9
LR,SW,With Process,0.7332,0.799,0.7801,0.7195,0.6899,0.7044,0.033,0.001,76,0.4548,3,476006eb47fe7cf9
RF,SW,With Process,0.7414,0.8217,0.8204,0.7769,0.6155,0.6869,0.421,0.025,76,0.4548,3,476006eb47fe7cf9
GB,SW,With Process,0.7364,0.819,0.816,0.7285,0.6822,0.7046,2.81,0.004,76,0.4548,3,476006eb47fe7cf9
KNN,SW,With Process,0.6686,0.7169,0.6694,0.6474,0.6163,0.6315,0.003,0.061,76,0.4548,3,476006eb47fe7cf9
LR,SW,With Process,0.7332,0.799,0.7801,0.7195,0.6899,0.7044,0.03,0.001,76,0.4548,4,476006eb47fe7cf9
RF,SW,With Process,0.7486,0.821,0.8211,0.7828,0.6287,0.6973,0.433,0.025,76,0.4548,4,476006eb47fe7cf9
GB,SW,With Process,0.7364,0.819,0.816,0.7285,0.6822,0.7046,2.795,0.004,76,0.4548,4,476006eb47fe7cf9
KNN,SW,With Process,0.6686,0.7169,0.6694,0.6474,0.6163,0.6315,0.003,0.062,76,0.4548,4,476006eb47fe7cf9
LR,SW,With BoW,0.7382,0.7961,0.7703,0.7205,0.7054,0.7129,0.277,0.003,344,0.4548,42,476006eb47fe7cf9
RF,SW,With BoW,0.7371,0.8095,0.8106,0.7748,0.6054,0.6797,0.579,0.026,344,0.4548,42,476006eb47fe7cf9
GB,SW,With BoW,0.7432,0.8211,0.815,0.7334,0.6953,0.7139,5.5,0.008,344,0.4548,42,476006eb47fe7cf9
KNN,SW,With BoW,0.6818,0.7195,0.6797,0.6637,0.6271,0.6449,0.01,0.185,344,0.4548,42,476006eb47fe7cf9
LR,SW,With BoW,0.7382,0.7961,0.7703,0.7205,0.7054,0.7129,0.276,0.003,344,0.4548,1,476006eb47fe7cf9
RF,SW,With BoW,0.7325,0.8115,0.8127,0.766,0.6039,0.6753,0.567,0.026,344,0.4548,1,476006eb47fe7cf9
GB,SW,With BoW,0.7432,0.8211,0.815,0.7334,0.6953,0.7139,5.671,0.007,344,0.4548,1,476006eb47fe7cf9
