Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Train_Time_s,Test_Time_s,n_features,pos_rate,Seed,split_id
RF,SW,No Process,0.8637,0.6954,0.3211,0.5714,0.0729,0.1293,1.949,0.08,59,0.1429,2,0f50fb19f263c430
GB,SW,No Process,0.7312,0.7134,0.3229,0.275,0.5727,0.3716,8.738,0.018,59,0.1429,2,0f50fb19f263c430
KNN,SW,No Process,0.8494,0.5985,0.194,0.3508,0.1003,0.156,0.008,1.346,59,0.1429,2,0f50fb19f263c430
LR,SW,No Process,0.735,0.7064,0.293,0.278,0.5694,0.3736,0.138,0.004,59,0.1429,3,0f50fb19f263c430
RF,SW,No Process,0.8641,0.6965,0.3209,0.5777,0.0777,0.1371,2.131,0.09,59,0.1429,3,0f50fb19f263c430
GB,SW,No Process,0.7312,0.7134,0.3229,0.275,0.5727,0.3716,8.804,0.017,59,0.1429,3,0f50fb19f263c430
KNN,SW,No Process,0.8494,0.5985,0.194,0.3508,0.1003,0.156,0.009,1.498,59,0.1429,3,0f50fb19f263c430
LR,SW,No Process,0.735,0.7064,0.293,0.278,0.5694,0.3736,0.121,0.004,59,0.1429,4,0f50fb19f263c430
RF,SW,No Process,0.8634,0.6978,0.3242,0.5597,0.0729,0.129,2.134,0.079,59,0.1429,4,0f50fb19f263c430
GB,SW,No Process,0.7311,0.7134,0.323,0.275,0.5727,0.3715,8.921,0.018,59,0.1429,4,0f50fb19f263c430
KNN,SW,No Process,0.8494,0.5985,0.194,0.3508,0.1003,0.156,0.008,1.308,59,0.1429,4,0f50fb19f263c430
LR,SW,With Process,0.8142,0.8577,0.5209,0.4076,0.7475,0.5275,0.188,0.005,76,0.1429,42,0f50fb19f263c430
RF,SW,With Process,0.8919,0.8975,0.6432,0.7689,0.3158,0.4477,2.539,0.079,76,0.1429,42,0f50fb19f263c430
GB,SW,With Process,0.8195,0.8986,0.6463,0.4259,0.8627,0.5703,14.45,0.032,76,0.1429,42,0f50fb19f263c430
KNN,SW,With Process,0.8716,0.6623,0.3142,0.619,0.1952,0.2968,0.011,1.812,76,0.1429,42,0f50fb19f263c430
LR,SW,With Process,0.8142,0.8577,0.5209,0.4076,0.7475,0.5275,0.21,0.006,76,0.1429,1,0f50fb19f263c430
RF,SW,With Process,0.8909,0.8949,0.6427,0.7737,0.3024,0.4348,2.514,0.08,76,0.1429,1,0f50fb19f263c430
GB,SW,With Process,0.8195,0.8986,0.6463,0.4259,0.8627,0.5703,14.269,0.028,76,0.1429,1,0f50fb19f263c430
KNN,SW,With Process,0.8716,0.6623,0.3142,0.619,0.1952,0.2968,0.01,1.454,76,0.1429,1,0f50fb19f263c430
LR,SW,With Process,0.8142,0.8577,0.5209,0.4076,0.7475,0.5275,0.204,0.005,76,0.1429,2,0f50fb19f263c430
RF,SW,With Process,0.892,0.896,0.6401,0.7782,0.3105,0.4438,2.106,0.068,76,0.1429,2,0f50fb19f263c430
GB,SW,With Process,0.8195,0.8986,0.6463,0.4259,0.8627,0.5703,14.06,0.025,76,0.1429,2,0f50fb19f263c430
KNN,SW,With Process,0.8716,0.6623,0.3142,0.619,0.1952,0.2968,0.01,1.592,76,0.1429,2,0f50fb19f263c430
LR,SW,With Process,0.8142,0.8577,0.5209,0.4076,0.7475,0.5275,0.21,0.006,76,0.1429,3,0f50fb19f263c430
RF,SW,With Process,0.8916,0.8929,0.6362,0.7917,0.2976,0.4326,2.278,0.069,76,0.1429,3,0f50fb19f263c430
GB,SW,With Process,0.8195,0.8986,0.6463,0.4259,0.8627,0.5703,14.393,0.026,76,0.1429,3,0f50fb19f263c430
KNN,SW,With Process,0.8716,0.6623,0.3142,0.619,0.1952,0.2968,0.01,1.423,76,0.1429,3,0f50fb19f263c430
LR,SW,With Process,0.8142,0.8577,0.5209,0.4076,0.7475,0.5275,0.2,0.005,76,0.1429,4,0f50fb19f263c430
RF,SW,With Process,0.891,0.895,0.6376,0.7755,0.3019,0.4346,2.073,0.068,76,0.1429,4,0f50fb19f263c430
GB,SW,With Process,0.8195,0.8986,0.6464,0.4259,0.8627,0.5703,14.383,0.027,76,0.1429,4,0f50fb19f263c430
KNN,SW,With Process,0.8716,0.6623,0.3142,0.619,0.1952,0.2968,0.01,1.695,76,0.1429,4,0f50fb19f263c430
LR,SW,With BoW,0.8278,0.8668,0.5538,0.4303,0.7426,0.5448,1.859,0.025,344,0.1429,42,0f50fb19f263c430
RF,SW,With BoW,0.8926,0.8901,0.636,0.8067,0.2976,0.4348,3.825,0.12,344,0.1429,42,0f50fb19f263c430
GB,SW,With BoW,0.8192,0.898,0.6449,0.4251,0.8595,0.5688,32.247,0.056,344,0.1429,42,0f50fb19f263c430
KNN,SW,With BoW,0.8806,0.6707,0.3638,0.6946,0.2488,0.3664,0.034,4.75,344,0.1429,42,0f50fb19f263c430
LR,SW,With BoW,0.8278,0.8668,0.5538,0.4303,0.7426,0.5448,1.767,0.023,344,0.1429,1,0f50fb19f263c430
RF,SW,With BoW,0.8907,0.889,0.6314,0.7941,0.2874,0.422,3.471,0.094,344,0.1429,1,0f50fb19f263c430
GB,SW,With BoW,0.8192,0.898,0.6449,0.4251,0.8595,0.5688,31.467,0.048,344,0.1429,1,0f50fb19f263c430
KNN,SW,With BoW,0.8806,0.6707,0.3638,0.6946,0.2488,0.3664,0.034,4.426,344,0.1429,1,0f50fb19f263c430
LR,SW,With BoW,0.8278,0.8668,0.5538,0.4303,0.7426,0.5448,1.746,0.022,344,0.1429,2,0f50fb19f263c430
RF,SW,With BoW,0.891,0.8885,0.6319,0.7985,0.2869,0.4221,3.628,0.102,344,0.1429,2,0f50fb19f263c430
GB,SW,With BoW,0.8193,0.8978,0.6448,0.4253,0.8595,0.569,31.225,0.045,344,0.1429,2,0f50fb19f263c430
KNN,SW,With BoW,0.8806,0.6707,0.3638,0.6946,0.2488,0.3664,0.032,4.384,344,0.1429,2,0f50fb19f263c430
LR,SW,With BoW,0.8278,0.8668,0.5538,0.4303,0.7426,0.5448,1.655,0.019,344,0.1429,3,0f50fb19f263c430
RF,SW,With BoW,0.8932,0.8891,0.633,0.8098,0.3013,0.4392,3.079,0.122,344,0.1429,3,0f50fb19f263c430
GB,SW,With BoW,0.8192,0.898,0.6449,0.4251,0.8595,0.5688,30.151,0.044,344,0.1429,3,0f50fb19f263c430
KNN,SW,With BoW,0.8806,0.6707,0.3638,0.6946,0.2488,0.3664,0.033,4.669,344,0.1429,3,0f50fb19f263c430
LR,SW,With BoW,0.8278,0.8668,0.5538,0.4303,0.7426,0.5448,1.77,0.02,344,0.1429,4,0f50fb19f263c430
RF,SW,With BoW,0.8926,0.8884,0.6329,0.814,0.2933,0.4312,3.248,0.139,344,0.1429,4,0f50fb19f263c430
GB,SW,With BoW,0.8192,0.898,0.6449,0.4251,0.8595,0.5688,29.884,0.045,344,0.1429,4,0f50fb19f263c430
KNN,SW,With BoW,0.8806,0.6707,0.3638,0.6946,0.2488,0.3664,0.032,4.836,344,0.1429,4,0f50fb19f263c430
