icd_code,condition,weight
K25,peptic_ulcer_disease,1
K250,peptic_ulcer_disease,1
K251,peptic_ulcer_disease,1
K252,peptic_ulcer_disease,1
K253,peptic_ulcer_disease,1
K254,peptic_ulcer_disease,1
K255,peptic_ulcer_disease,1
K256,peptic_ulcer_disease,1
K257,peptic_ulcer_disease,1
K259,peptic_ulcer_disease,1
K26,peptic_ulcer_disease,1
K260,peptic_ulcer_disease,1
K261,peptic_ulcer_disease,1
K262,peptic_ulcer_disease,1
K263,peptic_ulcer_disease,1
K264,peptic_ulcer_disease,1
K265,peptic_ulcer_disease,1
K266,peptic_ulcer_disease,1
K267,peptic_ulcer_disease,1
K269,peptic_ulcer_disease,1
K27,peptic_ulcer_disease,1
K270,peptic_ulcer_disease,1
K271,peptic_ulcer_disease,1
K272,peptic_ulcer_disease,1
K273,peptic_ulcer_disease,1
K274,peptic_ulcer_disease,1
K275,peptic_ulcer_disease,1
K276,peptic_ulcer_disease,1
K277,peptic_ulcer_disease,1
K279,peptic_ulcer_disease,1
K28,peptic_ulcer_disease,1
K280,peptic_ulcer_disease,1
K281,peptic_ulcer_disease,1
K282,peptic_ulcer_disease,1
K283,peptic_ulcer_disease,1
K284,peptic_ulcer_disease,1
K285,peptic_ulcer_disease,1
K286,peptic_ulcer_disease,1
K287,peptic_ulcer_disease,1
K289,peptic_ulcer_disease,1
B18,mild_liver_disease,1
B180,mild_liver_disease,1
B181,mild_liver_disease,1
B182,mild_liver_disease,1
B188,mild_liver_disease,1
B189,mild_liver_disease,1
K700,mild_liver_disease,1
K701,mild_liver_disease,1
K702,mild_liver_disease,1
K703,mild_liver_disease,1
K709,mild_liver_disease,1
K713,mild_liver_disease,1
K714,mild_liver_disease,1
K715,mild_liver_disease,1
K717,mild_liver_disease,1
K73,mild_liver_disease,1
K730,mild_liver_disease,1
K731,mild_liver_disease,1
K732,mild_liver_disease,1
K738,mild_liver_disease,1
K739,mild_liver_disease,1
K74,mild_liver_disease,1
K740,mild_liver_disease,1
K741,mild_liver_disease,1
K742,mild_liver_disease,1
K743,mild_liver_disease,1
K744,mild_liver_disease,1
K745,mild_liver_disease,1
K746,mild_liver_disease,1
K760,mild_liver_disease,1
K762,mild_liver_disease,1
K763,mild_liver_disease,1
K764,mild_liver_disease,1
K768,mild_liver_disease,1
K769,mild_liver_disease,1
Z944,mild_liver_disease,1
E100,diabetes_without_complications,1
E101,diabetes_without_complications,1
E106,diabetes_without_complications,1
E108,diabetes_without_complications,1
E109,diabetes_without_complications,1
E110,diabetes_without_complications,1
E111,diabetes_without_complications,1
E116,diabetes_without_complications,1
E118,diabetes_without_complications,1
E119,diabetes_without_complications,1
E120,diabetes_without_complications,1
E121,diabetes_without_complications,1
E126,diabetes_without_complications,1
E128,diabetes_without_complications,1
E129,diabetes_without_complications,1
E130,diabetes_without_complications,1
E131,diabetes_without_complications,1
E136,diabetes_without_complications,1
E138,diabetes_without_complications,1
E139,diabetes_without_complications,1
E140,diabetes_without_complications,1
E141,diabetes_without_complications,1
E146,diabetes_without_complications,1
E148,diabetes_without_complications,1
E149,diabetes_without_complications,1
E102,diabetes_with_complications,2
E103,diabetes_with_complications,2
E104,diabetes_with_complications,2
E105,diabetes_with_complications,2
E107,diabetes_with_complications,2
E112,diabetes_with_complications,2
E113,diabetes_with_complications,2
E114,diabetes_with_complications,2
E115,diabetes_with_complications,2
E117,diabetes_with_complications,2
E122,diabetes_with_complications,2
E123,diabetes_with_complications,2
E124,diabetes_with_complications,2
E125,diabetes_with_complications,2
E127,diabetes_with_complications,2
E132,diabetes_with_complications,2
E133,diabetes_with_complications,2
E134,diabetes_with_complications,2
E135,diabetes_with_complications,2
E137,diabetes_with_complications,2
E142,diabetes_with_complications,2
E143,diabetes_with_complications,2
E144,diabetes_with_complications,2
E145,diabetes_with_complications,2
E147,diabetes_with_complications,2
G041,hemiplegia_paraplegia,2
G114,hemiplegia_paraplegia,2
G801,hemiplegia_paraplegia,2
G802,hemiplegia_paraplegia,2
G81,hemiplegia_paraplegia,2
G810,hemiplegia_paraplegia,2
G811,hemiplegia_paraplegia,2
G812,hemiplegia_paraplegia,2
G818,hemiplegia_paraplegia,2
G819,hemiplegia_paraplegia,2
G82,hemiplegia_paraplegia,2
G820,hemiplegia_paraplegia,2
G821,hemiplegia_paraplegia,2
G822,hemiplegia_paraplegia,2
G823,hemiplegia_paraplegia,2
G824,hemiplegia_paraplegia,2
G825,hemiplegia_paraplegia,2
G826,hemiplegia_paraplegia,2
G827,hemiplegia_paraplegia,2
G828,hemiplegia_paraplegia,2
G829,hemiplegia_paraplegia,2
G830,hemiplegia_paraplegia,2
G831,hemiplegia_paraplegia,2
G832,hemiplegia_paraplegia,2
G833,hemiplegia_paraplegia,2
G834,hemiplegia_paraplegia,2
G838,hemiplegia_paraplegia,2
G839,hemiplegia_paraplegia,2
I120,renal_disease,2
I131,renal_disease,2
N032,renal_disease,2
N033,renal_disease,2
N034,renal_disease,2
N035,renal_disease,2
N036,renal_disease,2
N037,renal_disease,2
N052,renal_disease,2
N053,renal_disease,2
N054,renal_disease,2
N055,renal_disease,2
N056,renal_disease,2
N057,renal_disease,2
N18,renal_disease,2
N180,renal_disease,2
N181,renal_disease,2
N182,renal_disease,2
N183,renal_disease,2
N184,renal_disease,2
N185,renal_disease,2
N188,renal_disease,2
N189,renal_disease,2
N19,renal_disease,2
N250,renal_disease,2
Z490,renal_disease,2
Z491,renal_disease,2
Z492,renal_disease,2
Z940,renal_disease,2
Z992,renal_disease,2
C00,malignancy,2
C01,malignancy,2
C02,malignancy,2
C03,malignancy,2
C04,malignancy,2
C05,malignancy,2
C06,malignancy,2
C07,malignancy,2
C08,malignancy,2
C09,malignancy,2
C10,malignancy,2
C11,malignancy,2
C12,malignancy,2
C13,malignancy,2
C14,malignancy,2
C15,malignancy,2
C16,malignancy,2
C17,malignancy,2
C18,malignancy,2
C19,malignancy,2
C20,malignancy,2
C21,malignancy,2
C22,malignancy,2
C23,malignancy,2
C24,malignancy,2
C25,malignancy,2
C26,malignancy,2
C30,malignancy,2
C31,malignancy,2
C32,malignancy,2
C33,malignancy,2
C34,malignancy,2
C37,malignancy,2
C38,malignancy,2
C39,malignancy,2
C40,malignancy,2
C41,malignancy,2
C43,malignancy,2
C45,malignancy,2
C46,malignancy,2
C47,malignancy,2
C48,malignancy,2
C49,malignancy,2
C50,malignancy,2
C51,malignancy,2
C52,malignancy,2
C53,malignancy,2
C54,malignancy,2
C55,malignancy,2
C56,malignancy,2
C57,malignancy,2
C58,malignancy,2
C60,malignancy,2
C61,malignancy,2
C62,malignancy,2
C63,malignancy,2
C64,malignancy,2
C65,malignancy,2
C66,malignancy,2
C67,malignancy,2
C68,malignancy,2
C69,malignancy,2
C70,malignancy,2
C71,malignancy,2
C72,malignancy,2
C73,malignancy,2
C74,malignancy,2
C75,malignancy,2
C76,malignancy,2
C81,malignancy,2
C82,malignancy,2
C83,malignancy,2
C84,malignancy,2
C85,malignancy,2
C88,malignancy,2
C90,malignancy,2
C91,malignancy,2
C92,malignancy,2
C93,malignancy,2
C94,malignancy,2
C95,malignancy,2
C96,malignancy,2
C97,malignancy,2
I850,moderate_severe_liver_disease,2
I859,moderate_severe_liver_disease,2
I864,moderate_severe_liver_disease,2
I982,moderate_severe_liver_disease,2
K704,moderate_severe_liver_disease,2
K711,moderate_severe_liver_disease,2
K721,moderate_severe_liver_disease,2
K729,moderate_severe_liver_disease,2
K765,moderate_severe_liver_disease,2
K766,moderate_severe_liver_disease,2
K767,moderate_severe_liver_disease,2
C77,metastatic_solid_tumour,3
C770,metastatic_solid_tumour,3
C771,metastatic_solid_tumour,3
C772,metastatic_solid_tumour,3
C773,metastatic_solid_tumour,3
C774,metastatic_solid_tumour,3
C775,metastatic_solid_tumour,3
C778,metastatic_solid_tumour,3
C779,metastatic_solid_tumour,3
C78,metastatic_solid_tumour,3
C780,metastatic_solid_tumour,3
C781,metastatic_solid_tumour,3
C782,metastatic_solid_tumour,3
C783,metastatic_solid_tumour,3
C784,metastatic_solid_tumour,3
C785,metastatic_solid_tumour,3
C786,metastatic_solid_tumour,3
C787,metastatic_solid_tumour,3
C788,metastatic_solid_tumour,3
C789,metastatic_solid_tumour,3
C79,metastatic_solid_tumour,3
C790,metastatic_solid_tumour,3
C791,metastatic_solid_tumour,3
C792,metastatic_solid_tumour,3
C793,metastatic_solid_tumour,3
C794,metastatic_solid_tumour,3
C795,metastatic_solid_tumour,3
C796,metastatic_solid_tumour,3
C797,metastatic_solid_tumour,3
C798,metastatic_solid_tumour,3
C799,metastatic_solid_tumour,3
C80,metastatic_solid_tumour,3
C800,metastatic_solid_tumour,3
C801,metastatic_solid_tumour,3
C809,metastatic_solid_tumour,3
B20,aids_hiv,6
B200,aids_hiv,6
B201,aids_hiv,6
B202,aids_hiv,6
B203,aids_hiv,6
B204,aids_hiv,6
B205,aids_hiv,6
B206,aids_hiv,6
B207,aids_hiv,6
B208,aids_hiv,6
B209,aids_hiv,6
B21,aids_hiv,6
B210,aids_hiv,6
B211,aids_hiv,6
B212,aids_hiv,6
B213,aids_hiv,6
B214,aids_hiv,6
B215,aids_hiv,6
B216,aids_hiv,6
B217,aids_hiv,6
B218,aids_hiv,6
B219,aids_hiv,6
B22,aids_hiv,6
B220,aids_hiv,6
B221,aids_hiv,6
B222,aids_hiv,6
B228,aids_hiv,6
B24,aids_hiv,6
