condition,weight,icd_version,icd_code
moderate_severe_liver_disease,2,9,5722
moderate_severe_liver_disease,2,9,5723
moderate_severe_liver_disease,2,9,5724
moderate_severe_liver_disease,2,9,5725
moderate_severe_liver_disease,2,9,5726
moderate_severe_liver_disease,2,9,5727
moderate_severe_liver_disease,2,9,5728
moderate_severe_liver_disease,2,9,5729
metastatic_solid_tumour,3,9,196
metastatic_solid_tumour,3,9,197
metastatic_solid_tumour,3,9,198
metastatic_solid_tumour,3,9,199
aids_hiv,6,9,042
aids_hiv,6,9,043
aids_hiv,6,9,044
myocardial_infarction,1,10,I21
myocardial_infarction,1,10,I22
myocardial_infarction,1,10,I252
congestive_heart_failure,1,10,I099
congestive_heart_failure,1,10,I110
congestive_heart_failure,1,10,I130
congestive_heart_failure,1,10,I132
congestive_heart_failure,1,10,I255
congestive_heart_failure,1,10,I420
congestive_heart_failure,1,10,I425
congestive_heart_failure,1,10,I426
congestive_heart_failure,1,10,I427
congestive_heart_failure,1,10,I428
congestive_heart_failure,1,10,I429
congestive_heart_failure,1,10,I43
congestive_heart_failure,1,10,I50
congestive_heart_failure,1,10,P290
peripheral_vascular_disease,1,10,I70
peripheral_vascular_disease,1,10,I71
peripheral_vascular_disease,1,10,I731
peripheral_vascular_disease,1,10,I738
peripheral_vascular_disease,1,10,I739
peripheral_vascular_disease,1,10,I771
peripheral_vascular_disease,1,10,I790
peripheral_vascular_disease,1,10,I792
peripheral_vascular_disease,1,10,K551
peripheral_vascular_disease,1,10,K558
peripheral_vascular_disease,1,10,K559
peripheral_vascular_disease,1,10,Z958
peripheral_vascular_disease,1,10,Z959
cerebrovascular_disease,1,10,G45
cerebrovascular_disease,1,10,G46
cerebrovascular_disease,1,10,H340
cerebrovascular_disease,1,10,I60
cerebrovascular_disease,1,10,I61
cerebrovascular_disease,1,10,I62
cerebrovascular_disease,1,10,I63
cerebrovascular_disease,1,10,I64
cerebrovascular_disease,1,10,I65
cerebrovascular_disease,1,10,I66
cerebrovascular_disease,1,10,I67
cerebrovascular_disease,1,10,I68
cerebrovascular_disease,1,10,I69
dementia,1,10,F00
dementia,1,10,F01
dementia,1,10,F02
dementia,1,10,F03
dementia,1,10,F051
dementia,1,10,G30
dementia,1,10,G311
chronic_pulmonary_disease,1,10,I278
chronic_pulmonary_disease,1,10,I279
chronic_pulmonary_disease,1,10,J40
chronic_pulmonary_disease,1,10,J41
chronic_pulmonary_disease,1,10,J42
chronic_pulmonary_disease,1,10,J43
chronic_pulmonary_disease,1,10,J44
chronic_pulmonary_disease,1,10,J45
chronic_pulmonary_disease,1,10,J46
chronic_pulmonary_disease,1,10,J47
chronic_pulmonary_disease,1,10,J60
chronic_pulmonary_disease,1,10,J61
chronic_pulmonary_disease,1,10,J62
chronic_pulmonary_disease,1,10,J63
chronic_pulmonary_disease,1,10,J64
chronic_pulmonary_disease,1,10,J65
chronic_pulmonary_disease,1,10,J66
chronic_pulmonary_disease,1,10,J67
chronic_pulmonary_disease,1,10,J684
chronic_pulmonary_disease,1,10,J701
chronic_pulmonary_disease,1,10,J703
rheumatologic_disease,1,10,M05
rheumatologic_disease,1,10,M06
rheumatologic_disease,1,10,M315
rheumatologic_disease,1,10,M32
