,,,,AUROC,AUROC,AUROC,AUPRC,AUPRC,AUPRC,F1,F1,F1
,,,,mean,std,count,mean,std,count,mean,std,count
Model,Cohort,Condition,Variant,,,,,,,,,
GB,SW,No Process,corr,0.6109,0.0,5,0.1153,0.0,5,0.1821,0.0,5
GB,SW,No Process,corrpacu,0.6192,0.0,5,0.1403,0.0,5,0.214,0.0,5
GB,SW,No Process,lat,0.7705,0.0001,5,0.3077,0.0,5,0.3585,0.0002,5
GB,SW,No Process,old,0.7134,0.0,5,0.3229,0.0001,5,0.3716,0.0001,5
GB,SW,No Process,restricted,0.8018,0.0001,5,0.8044,0.0001,5,0.7006,0.0002,5
GB,SW,With BoW,collapse,0.8925,0.0,5,0.1766,0.0,5,0.2055,0.0,5
GB,SW,With BoW,corr,0.8594,0.0001,5,0.3201,0.0001,5,0.3854,0.0001,5
GB,SW,With BoW,corrpacu,0.8581,0.0001,5,0.3637,0.0005,5,0.4227,0.0,5
GB,SW,With BoW,lat,0.9157,0.0001,5,0.6302,0.0001,5,0.4688,0.0,5
GB,SW,With BoW,old,0.898,0.0001,5,0.6449,0.0,5,0.5688,0.0001,5
GB,SW,With BoW,restricted,0.8211,0.0001,5,0.815,0.0001,5,0.7142,0.0003,5
GB,SW,With Process,collapse,0.8878,0.0002,5,0.1604,0.0,5,0.2043,0.0,5
GB,SW,With Process,corr,0.8595,0.0,5,0.313,0.0,5,0.3863,0.0,5
GB,SW,With Process,corrpacu,0.8577,0.0,5,0.3544,0.0,5,0.4228,0.0,5
GB,SW,With Process,lat,0.9167,0.0,5,0.6334,0.0001,5,0.4672,0.0,5
GB,SW,With Process,old,0.8986,0.0,5,0.6463,0.0,5,0.5703,0.0,5
GB,SW,With Process,restricted,0.8191,0.0001,5,0.8161,0.0001,5,0.7047,0.0002,5
GRU,ICU,Sequence + Tabular,lat,0.7871,0.0023,5,0.3836,0.0036,5,0.3906,0.0023,5
GRU,ICU,Sequence + Tabular,old,0.8106,0.0017,5,0.5253,0.002,5,0.4726,0.0075,5
GRU,ICU,Sequence + Tabular,restricted,0.79,0.0016,5,0.442,0.0014,5,0.4287,0.0036,5
GRU,ICU,Sequence Only,lat,0.5339,0.0044,5,0.1271,0.0008,5,0.2081,0.0273,5
GRU,ICU,Sequence Only,old,0.5327,0.0035,5,0.1624,0.002,5,0.2531,0.0321,5
GRU,ICU,Sequence Only,restricted,0.547,0.0046,5,0.1565,0.0022,5,0.2541,0.0006,5
GRU,SW,Sequence + Tabular,collapse,0.8386,0.0042,5,0.1082,0.0061,5,0.1296,0.0153,5
GRU,SW,Sequence + Tabular,corr,0.832,0.0017,5,0.2698,0.004,5,0.3327,0.01,5
GRU,SW,Sequence + Tabular,corrpacu,0.8314,0.002,5,0.3176,0.0035,5,0.3943,0.0113,5
GRU,SW,Sequence + Tabular,lat,0.8933,0.0013,5,0.5978,0.006,5,0.4802,0.0106,5
GRU,SW,Sequence + Tabular,old,0.8797,0.0008,5,0.6164,0.0021,5,0.5571,0.0027,5
GRU,SW,Sequence + Tabular,restricted,0.8074,0.0019,5,0.8059,0.0015,5,0.7014,0.0019,5
GRU,SW,Sequence Only,collapse,0.6192,0.0019,5,0.0308,0.0002,5,0.0578,0.0015,5
GRU,SW,Sequence Only,corr,0.5547,0.0029,5,0.0885,0.0015,5,0.1534,0.0005,5
GRU,SW,Sequence Only,corrpacu,0.5613,0.0022,5,0.1066,0.0008,5,0.1828,0.0015,5
GRU,SW,Sequence Only,lat,0.6928,0.0015,5,0.3582,0.0016,5,0.4485,0.0143,5
GRU,SW,Sequence Only,old,0.6473,0.0015,5,0.3314,0.0021,5,0.3663,0.0014,5
GRU,SW,Sequence Only,restricted,0.6953,0.0014,5,0.6357,0.0009,5,0.6033,0.0056,5
KNN,ICU,No Process,lat,0.5803,0.0,5,0.1532,0.0,5,0.0727,0.0,5
KNN,ICU,No Process,old,0.5895,0.0,5,0.2008,0.0,5,0.1237,0.0,5
KNN,ICU,No Process,restricted,0.6033,0.0,5,0.2009,0.0,5,0.1322,0.0,5
KNN,ICU,With BoW,lat,0.5799,0.0,5,0.1507,0.0,5,0.061,0.0,5
KNN,ICU,With BoW,old,0.5881,0.0,5,0.1995,0.0,5,0.1025,0.0,5
KNN,ICU,With BoW,restricted,0.5836,0.0,5,0.1823,0.0,5,0.0956,0.0,5
KNN,ICU,With Process,lat,0.5903,0.0,5,0.1589,0.0,5,0.077,0.0,5
KNN,ICU,With Process,old,0.6004,0.0,5,0.211,0.0,5,0.1228,0.0,5
KNN,ICU,With Process,restricted,0.5906,0.0,5,0.1928,0.0,5,0.1168,0.0,5
KNN,SW,No Process,collapse,0.5147,0.0,5,0.0238,0.0,5,0.0,0.0,5
KNN,SW,No Process,corr,0.5193,0.0,5,0.0812,0.0,5,0.0128,0.0,5
KNN,SW,No Process,corrpacu,0.5193,0.0,5,0.0966,0.0,5,0.0195,0.0,5
KNN,SW,No Process,lat,0.6408,0.0,5,0.1687,0.0,5,0.1496,0.0,5
KNN,SW,No Process,old,0.5985,0.0,5,0.194,0.0,5,0.156,0.0,5
KNN,SW,No Process,restricted,0.7091,0.0,5,0.6594,0.0,5,0.6214,0.0,5
KNN,SW,With BoW,collapse,0.5172,0.0,5,0.024,0.0,5,0.0,0.0,5
KNN,SW,With BoW,corr,0.5456,0.0,5,0.0877,0.0,5,0.0146,0.0,5
KNN,SW,With BoW,corrpacu,0.5593,0.0,5,0.1075,0.0,5,0.0255,0.0,5
KNN,SW,With BoW,lat,0.7077,0.0,5,0.3843,0.0,5,0.4547,0.0,5
KNN,SW,With BoW,old,0.6707,0.0,5,0.3638,0.0,5,0.3664,0.0,5
KNN,SW,With BoW,restricted,0.7195,0.0,5,0.6797,0.0,5,0.6449,0.0,5
KNN,SW,With Process,collapse,0.5227,0.0,5,0.0244,0.0,5,0.0,0.0,5
KNN,SW,With Process,corr,0.5505,0.0,5,0.089,0.0,5,0.0182,0.0,5
KNN,SW,With Process,corrpacu,0.5576,0.0,5,0.1069,0.0,5,0.0211,0.0,5
KNN,SW,With Process,lat,0.6967,0.0,5,0.3207,0.0,5,0.353,0.0,5
KNN,SW,With Process,old,0.6623,0.0,5,0.3142,0.0,5,0.2968,0.0,5
KNN,SW,With Process,restricted,0.7169,0.0,5,0.6694,0.0,5,0.6315,0.0,5
LR,ICU,No Process,lat,0.7439,0.0,5,0.3254,0.0,5,0.3543,0.0,5
LR,ICU,No Process,old,0.7504,0.0,5,0.4162,0.0,5,0.4174,0.0,5
LR,ICU,No Process,restricted,0.749,0.0,5,0.387,0.0,5,0.3951,0.0,5
LR,ICU,With BoW,lat,0.7758,0.0,5,0.384,0.0,5,0.393,0.0,5
LR,ICU,With BoW,old,0.7909,0.0,5,0.5166,0.0,5,0.4673,0.0,5
LR,ICU,With BoW,restricted,0.7722,0.0,5,0.4363,0.0,5,0.4249,0.0,5
LR,ICU,With Process,lat,0.7792,0.0,5,0.384,0.0,5,0.3878,0.0,5
LR,ICU,With Process,old,0.7926,0.0,5,0.5149,0.0,5,0.4593,0.0,5
LR,ICU,With Process,restricted,0.7739,0.0,5,0.4369,0.0,5,0.4239,0.0,5
LR,SW,No Process,collapse,0.5795,0.0,5,0.0273,0.0,5,0.0525,0.0,5
LR,SW,No Process,corr,0.5961,0.0,5,0.1105,0.0,5,0.17,0.0,5
LR,SW,No Process,corrpacu,0.6033,0.0,5,0.1338,0.0,5,0.2005,0.0,5
LR,SW,No Process,lat,0.7634,0.0,5,0.2705,0.0,5,0.3469,0.0,5
LR,SW,No Process,old,0.7064,0.0,5,0.293,0.0,5,0.3736,0.0,5
LR,SW,No Process,restricted,0.7947,0.0,5,0.7746,0.0,5,0.7035,0.0,5
LR,SW,With BoW,collapse,0.8374,0.0,5,0.1176,0.0,5,0.1345,0.0,5
LR,SW,With BoW,corr,0.8047,0.0,5,0.2291,0.0,5,0.3195,0.0,5
LR,SW,With BoW,corrpacu,0.7994,0.0,5,0.2644,0.0,5,0.3532,0.0,5
LR,SW,With BoW,lat,0.8839,0.0,5,0.5299,0.0,5,0.4917,0.0,5
LR,SW,With BoW,old,0.8668,0.0,5,0.5538,0.0,5,0.5448,0.0,5
LR,SW,With BoW,restricted,0.7961,0.0,5,0.7703,0.0,5,0.7129,0.0,5
LR,SW,With Process,collapse,0.8485,0.0,5,0.1001,0.0,5,0.1325,0.0,5
LR,SW,With Process,corr,0.8058,0.0,5,0.2261,0.0,5,0.3122,0.0,5
LR,SW,With Process,corrpacu,0.8002,0.0,5,0.2659,0.0,5,0.348,0.0,5
LR,SW,With Process,lat,0.8781,0.0,5,0.4793,0.0,5,0.4679,0.0,5
LR,SW,With Process,old,0.8577,0.0,5,0.5209,0.0,5,0.5275,0.0,5
LR,SW,With Process,restricted,0.799,0.0,5,0.7801,0.0,5,0.7044,0.0,5
LSTM,ICU,Sequence + Tabular,lat,0.787,0.0018,5,0.382,0.0028,5,0.3933,0.0106,5
LSTM,ICU,Sequence + Tabular,old,0.8095,0.0016,5,0.5267,0.0016,5,0.4789,0.0105,5
LSTM,ICU,Sequence + Tabular,restricted,0.7882,0.0023,5,0.4391,0.0029,5,0.4311,0.0058,5
LSTM,ICU,Sequence Only,lat,0.5371,0.0041,5,0.1278,0.0011,5,0.2204,0.0007,5
LSTM,ICU,Sequence Only,old,0.5301,0.0063,5,0.1615,0.0021,5,0.2541,0.0318,5
LSTM,ICU,Sequence Only,restricted,0.5481,0.003,5,0.1568,0.0018,5,0.2545,0.0004,5
LSTM,SW,Sequence + Tabular,collapse,0.8393,0.0024,5,0.1102,0.0035,5,0.1217,0.0066,5
LSTM,SW,Sequence + Tabular,corr,0.8305,0.0034,5,0.2675,0.0047,5,0.3476,0.0108,5
LSTM,SW,Sequence + Tabular,corrpacu,0.8289,0.0038,5,0.3116,0.0074,5,0.3876,0.0127,5
LSTM,SW,Sequence + Tabular,lat,0.8942,0.0011,5,0.6044,0.0033,5,0.491,0.008,5
LSTM,SW,Sequence + Tabular,old,0.879,0.001,5,0.6142,0.0015,5,0.5579,0.0053,5
LSTM,SW,Sequence + Tabular,restricted,0.8082,0.002,5,0.8059,0.0022,5,0.697,0.011,5
LSTM,SW,Sequence Only,collapse,0.6156,0.007,5,0.0307,0.0003,5,0.0569,0.0019,5
LSTM,SW,Sequence Only,corr,0.5543,0.0027,5,0.0883,0.0011,5,0.1535,0.0015,5
LSTM,SW,Sequence Only,corrpacu,0.5618,0.0012,5,0.1058,0.0006,5,0.1844,0.0008,5
LSTM,SW,Sequence Only,lat,0.6931,0.0021,5,0.3579,0.0016,5,0.4457,0.0126,5
