Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id,Variant,Seed,Test_Time_s,n_features,pos_rate
BiGRU,SW,Sequence + Tabular,0.8515,0.8791,0.6158,0.476,0.6954,0.5651,27.0,31.6,0f50fb19f263c430,old,3,,,
BiGRU,ICU,Sequence Only,0.3208,0.5308,0.1617,0.1601,0.8197,0.268,23.0,31.6,6e09b6e8a1606e84,old,4,,,
BiGRU,ICU,Sequence + Tabular,0.7784,0.8091,0.5289,0.3731,0.6781,0.4814,27.0,39.6,6e09b6e8a1606e84,old,4,,,
BiGRU,SW,Sequence Only,0.8755,0.6507,0.3373,0.6234,0.2601,0.367,16.0,17.5,0f50fb19f263c430,old,4,,,
BiGRU,SW,Sequence + Tabular,0.8301,0.881,0.6166,0.4362,0.7662,0.5559,27.0,31.4,0f50fb19f263c430,old,4,,,
BiGRU,ICU,Sequence Only,0.3103,0.5341,0.1628,0.1601,0.8353,0.2686,20.0,27.4,6e09b6e8a1606e84,old,42,,,
BiGRU,ICU,Sequence + Tabular,0.7915,0.8082,0.526,0.3889,0.657,0.4886,24.0,35.0,6e09b6e8a1606e84,old,42,,,
BiGRU,SW,Sequence Only,0.8711,0.6475,0.3306,0.5757,0.2713,0.3688,28.0,30.0,0f50fb19f263c430,old,42,,,
BiGRU,SW,Sequence + Tabular,0.8529,0.8779,0.6095,0.4788,0.6729,0.5595,41.0,47.2,0f50fb19f263c430,old,42,,,
BiGRU,ICU,Sequence Only,0.3279,0.5446,0.155,0.1508,0.8211,0.2549,28.0,33.5,14d2082d80407129,restricted,1,,,
BiGRU,ICU,Sequence + Tabular,0.7458,0.7897,0.4416,0.3117,0.6753,0.4265,26.0,33.4,14d2082d80407129,restricted,1,,,
BiGRU,SW,Sequence Only,0.685,0.6932,0.6372,0.7166,0.5233,0.6048,20.0,4.7,476006eb47fe7cf9,restricted,1,,,
BiGRU,SW,Sequence + Tabular,0.7346,0.8043,0.8033,0.7489,0.638,0.689,28.0,7.0,476006eb47fe7cf9,restricted,1,,,
BiGRU,ICU,Sequence Only,0.3333,0.5437,0.1552,0.1507,0.8119,0.2542,20.0,24.2,14d2082d80407129,restricted,2,,,
BiGRU,ICU,Sequence + Tabular,0.7705,0.7902,0.44,0.3347,0.6471,0.4412,22.0,28.4,14d2082d80407129,restricted,2,,,
BiGRU,SW,Sequence Only,0.6832,0.6953,0.6352,0.7227,0.507,0.5959,17.0,4.0,476006eb47fe7cf9,restricted,2,,,
BiGRU,SW,Sequence + Tabular,0.7368,0.8086,0.8067,0.7318,0.6767,0.7032,40.0,10.1,476006eb47fe7cf9,restricted,2,,,
BiGRU,ICU,Sequence Only,0.3222,0.5446,0.1579,0.1512,0.8323,0.2558,19.0,22.7,14d2082d80407129,restricted,3,,,
BiGRU,ICU,Sequence + Tabular,0.7521,0.7882,0.4399,0.3163,0.6636,0.4284,21.0,26.7,14d2082d80407129,restricted,3,,,
BiGRU,SW,Sequence Only,0.685,0.6958,0.6364,0.7143,0.5271,0.6066,16.0,3.8,476006eb47fe7cf9,restricted,3,,,
BiGRU,SW,Sequence + Tabular,0.7429,0.807,0.8059,0.7582,0.6488,0.6992,34.0,8.4,476006eb47fe7cf9,restricted,3,,,
BiGRU,ICU,Sequence Only,0.3424,0.5443,0.1563,0.1512,0.8012,0.2543,35.0,41.5,14d2082d80407129,restricted,4,,,
BiGRU,ICU,Sequence + Tabular,0.7487,0.7881,0.4397,0.3143,0.6728,0.4285,26.0,32.9,14d2082d80407129,restricted,4,,,
BiGRU,SW,Sequence Only,0.6861,0.6957,0.6415,0.7152,0.5295,0.6085,36.0,8.4,476006eb47fe7cf9,restricted,4,,,
BiGRU,SW,Sequence + Tabular,0.7368,0.8058,0.8029,0.7377,0.6651,0.6996,37.0,9.1,476006eb47fe7cf9,restricted,4,,,
BiGRU,ICU,Sequence Only,0.345,0.544,0.1539,0.1513,0.7978,0.2543,30.0,35.6,14d2082d80407129,restricted,42,,,
BiGRU,ICU,Sequence + Tabular,0.753,0.79,0.4412,0.3183,0.6694,0.4315,22.0,27.9,14d2082d80407129,restricted,42,,,
BiGRU,SW,Sequence Only,0.6875,0.6971,0.6379,0.7173,0.531,0.6102,31.0,7.2,476006eb47fe7cf9,restricted,42,,,
BiGRU,SW,Sequence + Tabular,0.7393,0.8072,0.8075,0.7513,0.6488,0.6963,52.0,12.9,476006eb47fe7cf9,restricted,42,,,
BiLSTM,SW,Sequence Only,0.3338,0.6184,0.0308,0.0292,0.8701,0.0565,13.0,13.7,0f50fb19f263c430,collapse,1,,,
BiLSTM,SW,Sequence + Tabular,0.7341,0.841,0.1015,0.0675,0.8279,0.1249,23.0,25.8,0f50fb19f263c430,collapse,1,,,
BiLSTM,SW,Sequence Only,0.4889,0.6153,0.0307,0.0312,0.7078,0.0597,27.0,28.0,0f50fb19f263c430,collapse,2,,,
BiLSTM,SW,Sequence + Tabular,0.7292,0.8428,0.1038,0.0671,0.8377,0.1242,25.0,27.8,0f50fb19f263c430,collapse,2,,,
BiLSTM,SW,Sequence Only,0.42,0.6146,0.0308,0.03,0.776,0.0578,30.0,30.7,0f50fb19f263c430,collapse,3,,,
BiLSTM,SW,Sequence + Tabular,0.6971,0.8462,0.1086,0.063,0.8799,0.1175,21.0,22.8,0f50fb19f263c430,collapse,3,,,
BiLSTM,SW,Sequence Only,0.3263,0.6148,0.0301,0.0289,0.8701,0.0559,30.0,30.9,0f50fb19f263c430,collapse,4,,,
BiLSTM,SW,Sequence + Tabular,0.7103,0.8435,0.1052,0.0642,0.8571,0.1194,24.0,26.2,0f50fb19f263c430,collapse,4,,,
BiLSTM,SW,Sequence Only,0.4443,0.6182,0.0307,0.0303,0.75,0.0583,15.0,16.2,0f50fb19f263c430,collapse,42,,,
BiLSTM,SW,Sequence + Tabular,0.7057,0.8394,0.1085,0.0624,0.8442,0.1162,18.0,20.2,0f50fb19f263c430,collapse,42,,,
BiLSTM,SW,Sequence Only,0.3635,0.5535,0.0872,0.0855,0.7473,0.1534,32.0,32.6,0f50fb19f263c430,corr,1,,,
BiLSTM,SW,Sequence + Tabular,0.8256,0.8316,0.2654,0.2511,0.6355,0.36,30.0,32.9,0f50fb19f263c430,corr,1,,,
BiLSTM,SW,Sequence Only,0.3845,0.5536,0.0888,0.0862,0.7261,0.154,17.0,17.8,0f50fb19f263c430,corr,2,,,
BiLSTM,SW,Sequence + Tabular,0.8123,0.8291,0.2636,0.2426,0.675,0.357,33.0,36.1,0f50fb19f263c430,corr,2,,,
BiLSTM,SW,Sequence Only,0.4399,0.5489,0.087,0.0859,0.649,0.1517,12.0,12.5,0f50fb19f263c430,corr,3,,,
BiLSTM,SW,Sequence + Tabular,0.7994,0.8323,0.2708,0.2364,0.7175,0.3556,32.0,35.1,0f50fb19f263c430,corr,3,,,
BiLSTM,SW,Sequence Only,0.3945,0.5488,0.0861,0.0866,0.7175,0.1546,14.0,14.6,0f50fb19f263c430,corr,4,,,
BiLSTM,SW,Sequence + Tabular,0.8032,0.8318,0.2655,0.239,0.7097,0.3575,29.0,31.8,0f50fb19f263c430,corr,4,,,
BiLSTM,SW,Sequence Only,0.3574,0.5539,0.0886,0.0852,0.7522,0.153,30.0,31.3,0f50fb19f263c430,corr,42,,,
BiLSTM,SW,Sequence + Tabular,0.7811,0.8324,0.2705,0.2239,0.7445,0.3443,29.0,31.5,0f50fb19f263c430,corr,42,,,
BiLSTM,SW,Sequence Only,0.3852,0.5605,0.1051,0.1031,0.7393,0.181,23.0,23.9,0f50fb19f263c430,corrpacu,1,,,
BiLSTM,SW,Sequence + Tabular,0.7998,0.8322,0.3121,0.2744,0.7166,0.3969,29.0,32.2,0f50fb19f263c430,corrpacu,1,,,
BiLSTM,SW,Sequence Only,0.3632,0.5633,0.1058,0.1022,0.7611,0.1801,24.0,24.9,0f50fb19f263c430,corrpacu,2,,,
BiLSTM,SW,Sequence + Tabular,0.7849,0.8318,0.3142,0.2624,0.7401,0.3875,25.0,27.4,0f50fb19f263c430,corrpacu,2,,,
